Function:Complex
ANN Hyperparameters: activation function Cosine, layer arch [2, 10, 8, 1]
epoch:008 ,particle:16, par err:0.4892, best part err:0.1631, best swarm err:0.1132
epoch:008 ,particle:17, par err:0.8215, best part err:0.2805, best swarm err:0.1132
epoch:008 ,particle:18, par err:0.5406, best part err:0.1233, best swarm err:0.1132
epoch:008 ,particle:19, par err:1.0164, best part err:0.2298, best swarm err:0.1132
epoch:008 ,particle:20, par err:0.6110, best part err:0.3954, best swarm err:0.1132
epoch:008 ,particle:21, par err:0.6103, best part err:0.2539, best swarm err:0.1132
epoch:008 ,particle:22, par err:0.2134, best part err:0.1228, best swarm err:0.1132
epoch:008 ,particle:23, par err:0.3736, best part err:0.1132, best swarm err:0.1132
epoch:008 ,particle:24, par err:0.5567, best part err:0.3726, best swarm err:0.1132
epoch:008 ,particle:25, par err:0.3765, best part err:0.1202, best swarm err:0.1132
epoch:008 ,particle:26, par err:0.1953, best part err:0.1953, best swarm err:0.1132
epoch:008 ,particle:27, par err:0.6638, best part err:0.1413, best swarm err:0.1132
epoch:008 ,particle:28, par err:0.2892, best part err:0.1832, best swarm err:0.1132
epoch:008 ,particle:29, par err:0.7831, best part err:0.3322, best swarm err:0.1132
epoch:008 ,particle:30, par err:0.7792, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:009 ,particle:01, par err:0.8529, best part err:0.2331, best swarm err:0.1132
epoch:009 ,particle:02, par err:0.4638, best part err:0.2342, best swarm err:0.1132
epoch:009 ,particle:03, par err:0.2550, best part err:0.2550, best swarm err:0.1132
epoch:009 ,particle:04, par err:0.9707, best part err:0.4555, best swarm err:0.1132
epoch:009 ,particle:05, par err:0.2627, best part err:0.1239, best swarm err:0.1132
epoch:009 ,particle:06, par err:0.5525, best part err:0.1696, best swarm err:0.1132
epoch:009 ,particle:07, par err:0.7900, best part err:0.2354, best swarm err:0.1132
epoch:009 ,particle:08, par err:0.6309, best part err:0.1208, best swarm err:0.1132
epoch:009 ,particle:09, par err:0.4783, best part err:0.1252, best swarm err:0.1132
epoch:009 ,particle:10, par err:0.6111, best part err:0.2069, best swarm err:0.1132
epoch:009 ,particle:11, par err:0.3352, best part err:0.1313, best swarm err:0.1132
epoch:009 ,particle:12, par err:0.1811, best part err:0.1632, best swarm err:0.1132
epoch:009 ,particle:13, par err:0.4808, best part err:0.2399, best swarm err:0.1132
epoch:009 ,particle:14, par err:0.3056, best part err:0.1160, best swarm err:0.1132
epoch:009 ,particle:15, par err:1.1919, best part err:0.2946, best swarm err:0.1132
epoch:009 ,particle:16, par err:0.1295, best part err:0.1295, best swarm err:0.1132
epoch:009 ,particle:17, par err:0.4441, best part err:0.2805, best swarm err:0.1132
epoch:009 ,particle:18, par err:1.4026, best part err:0.1233, best swarm err:0.1132
epoch:009 ,particle:19, par err:0.1203, best part err:0.1203, best swarm err:0.1132
epoch:009 ,particle:20, par err:0.8164, best part err:0.3954, best swarm err:0.1132
epoch:009 ,particle:21, par err:0.4798, best part err:0.2539, best swarm err:0.1132
epoch:009 ,particle:22, par err:0.1329, best part err:0.1228, best swarm err:0.1132
epoch:009 ,particle:23, par err:0.3848, best part err:0.1132, best swarm err:0.1132
epoch:009 ,particle:24, par err:0.7858, best part err:0.3726, best swarm err:0.1132
epoch:009 ,particle:25, par err:0.5519, best part err:0.1202, best swarm err:0.1132
epoch:009 ,particle:26, par err:0.7093, best part err:0.1953, best swarm err:0.1132
epoch:009 ,particle:27, par err:0.1716, best part err:0.1413, best swarm err:0.1132
epoch:009 ,particle:28, par err:0.5127, best part err:0.1832, best swarm err:0.1132
epoch:009 ,particle:29, par err:0.6944, best part err:0.3322, best swarm err:0.1132
epoch:009 ,particle:30, par err:0.2771, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:010 ,particle:01, par err:0.6693, best part err:0.2331, best swarm err:0.1132
epoch:010 ,particle:02, par err:0.6950, best part err:0.2342, best swarm err:0.1132
epoch:010 ,particle:03, par err:0.4659, best part err:0.2550, best swarm err:0.1132
epoch:010 ,particle:04, par err:0.4640, best part err:0.4555, best swarm err:0.1132
epoch:010 ,particle:05, par err:0.2853, best part err:0.1239, best swarm err:0.1132
epoch:010 ,particle:06, par err:1.3736, best part err:0.1696, best swarm err:0.1132
epoch:010 ,particle:07, par err:0.5682, best part err:0.2354, best swarm err:0.1132
epoch:010 ,particle:08, par err:0.2028, best part err:0.1208, best swarm err:0.1132
epoch:010 ,particle:09, par err:0.6819, best part err:0.1252, best swarm err:0.1132
epoch:010 ,particle:10, par err:1.2635, best part err:0.2069, best swarm err:0.1132
epoch:010 ,particle:11, par err:0.1717, best part err:0.1313, best swarm err:0.1132
epoch:010 ,particle:12, par err:0.8305, best part err:0.1632, best swarm err:0.1132
epoch:010 ,particle:13, par err:0.4754, best part err:0.2399, best swarm err:0.1132
epoch:010 ,particle:14, par err:1.4851, best part err:0.1160, best swarm err:0.1132
epoch:010 ,particle:15, par err:0.4932, best part err:0.2946, best swarm err:0.1132
epoch:010 ,particle:16, par err:0.8317, best part err:0.1295, best swarm err:0.1132
epoch:010 ,particle:17, par err:0.4989, best part err:0.2805, best swarm err:0.1132
epoch:010 ,particle:18, par err:1.4814, best part err:0.1233, best swarm err:0.1132
epoch:010 ,particle:19, par err:0.7813, best part err:0.1203, best swarm err:0.1132
epoch:010 ,particle:20, par err:0.7338, best part err:0.3954, best swarm err:0.1132
epoch:010 ,particle:21, par err:0.4310, best part err:0.2539, best swarm err:0.1132
epoch:010 ,particle:22, par err:0.3821, best part err:0.1228, best swarm err:0.1132
epoch:010 ,particle:23, par err:0.6750, best part err:0.1132, best swarm err:0.1132
epoch:010 ,particle:24, par err:0.8807, best part err:0.3726, best swarm err:0.1132
epoch:010 ,particle:25, par err:0.7336, best part err:0.1202, best swarm err:0.1132
epoch:010 ,particle:26, par err:0.6579, best part err:0.1953, best swarm err:0.1132
epoch:010 ,particle:27, par err:0.5146, best part err:0.1413, best swarm err:0.1132
epoch:010 ,particle:28, par err:0.4328, best part err:0.1832, best swarm err:0.1132
epoch:010 ,particle:29, par err:0.6481, best part err:0.3322, best swarm err:0.1132
epoch:010 ,particle:30, par err:0.1399, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
epoch:011 ,particle:01, par err:1.1244, best part err:0.2331, best swarm err:0.1132
epoch:011 ,particle:02, par err:1.1564, best part err:0.2342, best swarm err:0.1132
epoch:011 ,particle:03, par err:0.5587, best part err:0.2550, best swarm err:0.1132
epoch:011 ,particle:04, par err:0.3528, best part err:0.3528, best swarm err:0.1132
epoch:011 ,particle:05, par err:0.2855, best part err:0.1239, best swarm err:0.1132
epoch:011 ,particle:06, par err:0.5909, best part err:0.1696, best swarm err:0.1132
epoch:011 ,particle:07, par err:1.4809, best part err:0.2354, best swarm err:0.1132
epoch:011 ,particle:08, par err:1.3609, best part err:0.1208, best swarm err:0.1132
epoch:011 ,particle:09, par err:0.4916, best part err:0.1252, best swarm err:0.1132
epoch:011 ,particle:10, par err:0.7088, best part err:0.2069, best swarm err:0.1132
epoch:011 ,particle:11, par err:0.7161, best part err:0.1313, best swarm err:0.1132
epoch:011 ,particle:12, par err:0.5056, best part err:0.1632, best swarm err:0.1132
epoch:011 ,particle:13, par err:1.4814, best part err:0.2399, best swarm err:0.1132
epoch:011 ,particle:14, par err:0.2435, best part err:0.1160, best swarm err:0.1132
epoch:011 ,particle:15, par err:1.4253, best part err:0.2946, best swarm err:0.1132
epoch:011 ,particle:16, par err:0.6819, best part err:0.1295, best swarm err:0.1132
epoch:011 ,particle:17, par err:0.8039, best part err:0.2805, best swarm err:0.1132
epoch:011 ,particle:18, par err:0.1975, best part err:0.1233, best swarm err:0.1132
epoch:011 ,particle:19, par err:0.6227, best part err:0.1203, best swarm err:0.1132
epoch:011 ,particle:20, par err:1.0637, best part err:0.3954, best swarm err:0.1132
epoch:011 ,particle:21, par err:1.3441, best part err:0.2539, best swarm err:0.1132
epoch:011 ,particle:22, par err:0.1412, best part err:0.1228, best swarm err:0.1132
epoch:011 ,particle:23, par err:0.4462, best part err:0.1132, best swarm err:0.1132
epoch:011 ,particle:24, par err:0.6066, best part err:0.3726, best swarm err:0.1132
epoch:011 ,particle:25, par err:0.2304, best part err:0.1202, best swarm err:0.1132
epoch:011 ,particle:26, par err:1.4432, best part err:0.1953, best swarm err:0.1132
epoch:011 ,particle:27, par err:0.5305, best part err:0.1413, best swarm err:0.1132
epoch:011 ,particle:28, par err:0.1359, best part err:0.1359, best swarm err:0.1132
epoch:011 ,particle:29, par err:1.1855, best part err:0.3322, best swarm err:0.1132
epoch:011 ,particle:30, par err:0.1300, best part err:0.1252, best swarm err:0.1132

-------------------------------------------------------------------------------------
